STEP 1 | MGR:credit_take | total=0.149 err=0.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.5319e+06 pop=28 bases=1 money=132000 credit=50100 day=1
STEP 2 | MGR:credit_take | total=-0.101 err=0.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.5317e+06 pop=28 bases=1 money=182000 credit=100300 day=2
STEP 3 | MGR:credit_take | total=-1.102 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.5315e+06 pop=28 bases=1 money=182000 credit=100500 day=3
STEP 4 | MGR:credit_take | total=-1.104 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.5313e+06 pop=28 bases=1 money=182000 credit=100701 day=4
STEP 5 | MGR:credit_take | total=-1.105 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.5311e+06 pop=28 bases=1 money=182000 credit=100902 day=5
STEP 6 | MGR:credit_take | total=-1.106 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.5309e+06 pop=28 bases=1 money=182000 credit=101103 day=6
STEP 7 | MGR:credit_take | total=-1.107 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.5307e+06 pop=28 bases=1 money=182000 credit=101305 day=7
STEP 8 | MGR:credit_take | total=-1.108 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.53049e+06 pop=28 bases=1 money=182000 credit=101507 day=8
STEP 9 | MGR:credit_take | total=-1.109 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.53029e+06 pop=28 bases=1 money=182000 credit=101710 day=9
STEP 10 | MGR:credit_take | total=-6.110 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=-5.000 gover=0.000 | nw=1.53009e+06 pop=28 bases=1 money=182000 credit=101913 day=10
STEP 11 | MGR:credit_take | total=-1.111 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52988e+06 pop=28 bases=1 money=182000 credit=102116 day=11
STEP 12 | MGR:credit_take | total=-1.112 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52968e+06 pop=28 bases=1 money=182000 credit=102320 day=12
STEP 13 | MGR:credit_take | total=-1.113 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52948e+06 pop=28 bases=1 money=182000 credit=102524 day=13
STEP 14 | MGR:credit_take | total=-0.114 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52927e+06 pop=29 bases=1 money=182000 credit=102729 day=14
STEP 15 | MGR:credit_take | total=-1.115 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52907e+06 pop=29 bases=1 money=182000 credit=102934 day=15
STEP 16 | MGR:credit_take | total=-1.116 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52886e+06 pop=29 bases=1 money=182000 credit=103139 day=16
STEP 17 | MGR:credit_take | total=-1.117 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52866e+06 pop=29 bases=1 money=182000 credit=103345 day=17
STEP 18 | MGR:credit_take | total=-1.118 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52845e+06 pop=29 bases=1 money=182000 credit=103551 day=18
STEP 19 | MGR:credit_take | total=-1.119 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52824e+06 pop=29 bases=1 money=182000 credit=103758 day=19
STEP 20 | MGR:credit_take | total=-6.120 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=-5.000 gover=0.000 | nw=1.52804e+06 pop=29 bases=1 money=182000 credit=103965 day=20
STEP 21 | MGR:credit_take | total=-1.121 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52783e+06 pop=29 bases=1 money=182000 credit=104172 day=21
STEP 22 | MGR:credit_take | total=-1.122 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52762e+06 pop=29 bases=1 money=182000 credit=104380 day=22
STEP 23 | MGR:credit_take | total=-1.123 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52741e+06 pop=29 bases=1 money=182000 credit=104588 day=23
STEP 24 | MGR:credit_take | total=-1.124 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.5272e+06 pop=29 bases=1 money=182000 credit=104797 day=24
STEP 25 | MGR:credit_take | total=-1.125 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52699e+06 pop=29 bases=1 money=182000 credit=105006 day=25
STEP 26 | MGR:credit_take | total=-1.126 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52678e+06 pop=29 bases=1 money=182000 credit=105216 day=26
STEP 27 | MGR:credit_take | total=-1.127 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52657e+06 pop=29 bases=1 money=182000 credit=105426 day=27
STEP 28 | MGR:credit_take | total=-1.128 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52636e+06 pop=29 bases=1 money=182000 credit=105636 day=28
STEP 29 | MGR:credit_take | total=-1.129 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52615e+06 pop=29 bases=1 money=182000 credit=105847 day=29
STEP 30 | MGR:credit_take | total=-6.130 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=-5.000 gover=0.000 | nw=1.52594e+06 pop=29 bases=1 money=182000 credit=106058 day=30
STEP 31 | MGR:credit_take | total=-1.131 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52573e+06 pop=29 bases=1 money=182000 credit=106270 day=31
STEP 32 | MGR:credit_take | total=-1.132 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52552e+06 pop=29 bases=1 money=182000 credit=106482 day=32
STEP 33 | MGR:credit_take | total=-1.133 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52531e+06 pop=29 bases=1 money=182000 credit=106694 day=33
STEP 34 | MGR:credit_take | total=-1.135 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52509e+06 pop=29 bases=1 money=182000 credit=106907 day=34
STEP 35 | MGR:credit_take | total=-1.136 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52488e+06 pop=29 bases=1 money=182000 credit=107120 day=35
STEP 36 | MGR:credit_take | total=-1.137 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52467e+06 pop=29 bases=1 money=182000 credit=107334 day=36
STEP 37 | MGR:credit_take | total=-1.138 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52445e+06 pop=29 bases=1 money=182000 credit=107548 day=37
STEP 38 | MGR:credit_take | total=-1.139 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52424e+06 pop=29 bases=1 money=182000 credit=107763 day=38
STEP 39 | MGR:credit_take | total=-1.140 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52402e+06 pop=29 bases=1 money=182000 credit=107978 day=39
STEP 40 | MGR:credit_take | total=-6.141 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=-5.000 gover=0.000 | nw=1.52381e+06 pop=29 bases=1 money=182000 credit=108193 day=40
STEP 41 | MGR:credit_take | total=-1.142 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52359e+06 pop=29 bases=1 money=182000 credit=108409 day=41
