======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=    0 a= 27 r= -0.8485 cum=     -0.85 v= -4.8921 top5=[a12=0.025, a39=0.024, a43=0.023, a44=0.023, a36=0.023]
    state: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=1 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=    1 a= 12 r= +2.6482 cum=     +1.80 v= +6.3058 top5=[a43=0.028, a39=0.025, a27=0.025, a4=0.025, a24=0.024]
  s=    2 a= 16 r= -0.4263 cum=     +1.37 v= +5.4827 top5=[a43=0.027, a39=0.025, a27=0.024, a4=0.024, a40=0.024]
  s=    3 a= 23 r= -0.4592 cum=     +0.91 v= +4.8190 top5=[a43=0.027, a39=0.025, a4=0.024, a27=0.024, a40=0.024]
  s=    4 a=  6 r= -0.4903 cum=     +0.42 v= +4.4527 top5=[a43=0.027, a39=0.025, a4=0.024, a40=0.024, a27=0.024]
  s=    5 a= 31 r= +8.6572 cum=     +9.08 v= +4.2353 top5=[a43=0.027, a39=0.025, a4=0.024, a40=0.024, a27=0.024]
  s=    6 a=  0 r= +0.1315 cum=     +9.21 v=+15.1650 top5=[a43=0.031, a3=0.027, a1=0.027, a15=0.026, a4=0.026]
  s=    7 a= 28 r= -0.2080 cum=     +9.00 v=+10.6957 top5=[a43=0.029, a3=0.025, a15=0.025, a4=0.025, a39=0.025]
  s=    8 a= 39 r= -0.2173 cum=     +8.79 v= +9.2601 top5=[a43=0.028, a39=0.025, a24=0.025, a4=0.025, a15=0.025]
  s=    9 a=  4 r= -0.2262 cum=     +8.56 v= +8.6255 top5=[a43=0.028, a39=0.025, a24=0.025, a27=0.025, a4=0.025]
  s=   10 a=  4 r= -0.2348 cum=     +8.33 v= +8.2872 top5=[a43=0.028, a39=0.025, a27=0.025, a24=0.025, a11=0.025]
  s=   11 a=  1 r= +0.1455 cum=     +8.47 v= +8.1521 top5=[a43=0.028, a39=0.025, a27=0.025, a11=0.025, a24=0.025]
  s=   12 a= 40 r= -0.2633 cum=     +8.21 v=+11.1301 top5=[a43=0.030, a39=0.026, a3=0.026, a15=0.025, a24=0.025]
  s=   13 a= 36 r= +0.1632 cum=     +8.37 v=+10.7873 top5=[a43=0.030, a39=0.026, a3=0.025, a15=0.025, a27=0.025]
  s=   14 a= 44 r= -1.8427 cum=     +6.53 v=+10.5210 top5=[a43=0.029, a39=0.026, a3=0.025, a15=0.025, a27=0.025]
  s=   15 a= 31 r= +1.5909 cum=     +8.12 v=+10.3059 top5=[a43=0.029, a39=0.026, a3=0.025, a15=0.025, a27=0.025]
  s=   16 a=  5 r= -0.2855 cum=     +7.83 v=+15.3811 top5=[a43=0.030, a1=0.028, a11=0.026, a15=0.026, a29=0.026]
  s=   17 a= 22 r= +4.6620 cum=    +12.50 v=+14.3866 top5=[a43=0.030, a1=0.027, a11=0.026, a15=0.026, a29=0.026]
  s=   18 a= 10 r= -0.2743 cum=    +12.22 v=+16.7577 top5=[a43=0.030, a1=0.028, a11=0.027, a29=0.026, a18=0.026]
  s=   19 a= 35 r= +0.1813 cum=    +12.40 v=+15.5755 top5=[a43=0.030, a1=0.028, a11=0.027, a29=0.026, a18=0.025]
  s=   20 a= 31 r= +1.6296 cum=    +14.03 v=+14.9476 top5=[a43=0.030, a1=0.027, a11=0.027, a29=0.025, a39=0.025]
  s=   21 a= 30 r= -0.2914 cum=    +13.74 v=+22.2502 top5=[a43=0.032, a1=0.030, a11=0.029, a16=0.027, a27=0.027]
  s=   22 a= 27 r= -0.2901 cum=    +13.45 v=+20.6918 top5=[a43=0.031, a1=0.030, a11=0.029, a16=0.027, a27=0.027]
  s=   23 a= 20 r= -0.3017 cum=    +13.15 v=+19.6136 top5=[a43=0.031, a1=0.029, a11=0.028, a27=0.027, a16=0.027]
  s=   24 a= 32 r= -0.3133 cum=    +12.84 v=+18.8376 top5=[a43=0.031, a1=0.029, a11=0.028, a27=0.026, a16=0.026]
  s=   25 a= 19 r= -0.3116 cum=    +12.52 v=+16.2322 top5=[a43=0.030, a1=0.029, a11=0.028, a16=0.026, a27=0.026]
  s=   26 a= 13 r= -0.3165 cum=    +12.21 v=+15.8107 top5=[a43=0.029, a1=0.029, a11=0.027, a16=0.026, a27=0.026]
  s=   27 a= 27 r= -0.3352 cum=    +11.87 v=+15.7297 top5=[a43=0.030, a1=0.029, a11=0.028, a16=0.026, a27=0.026]
  s=   28 a=  5 r= -0.3401 cum=    +11.53 v=+15.3571 top5=[a43=0.030, a1=0.028, a11=0.027, a16=0.026, a18=0.026]
  s=   29 a= 16 r= -2.9868 cum=     +8.55 v=+15.0947 top5=[a43=0.030, a1=0.028, a11=0.027, a16=0.026, a18=0.026]
  s=   30 a= 41 r= -0.8454 cum=     +7.70 v=+14.8637 top5=[a43=0.030, a1=0.028, a11=0.027, a16=0.026, a18=0.026]
  s=   31 a=  1 r= -0.0677 cum=     +7.63 v=+20.6378 top5=[a43=0.036, a11=0.034, a36=0.028, a28=0.028, a1=0.027]
  s=   32 a= 22 r= -0.3500 cum=     +7.28 v=+18.7662 top5=[a43=0.034, a11=0.030, a16=0.028, a28=0.028, a1=0.027]
  s=   33 a=  5 r= -0.3547 cum=     +6.93 v=+17.4700 top5=[a43=0.033, a11=0.029, a16=0.028, a1=0.027, a28=0.027]
  s=   34 a= 43 r= -0.3593 cum=     +6.57 v=+16.8579 top5=[a43=0.032, a11=0.028, a16=0.028, a1=0.027, a28=0.027]
  s=   35 a= 21 r= -0.3286 cum=     +6.24 v=+16.5413 top5=[a43=0.032, a11=0.028, a16=0.027, a1=0.027, a28=0.027]
  s=   36 a= 16 r= -0.3715 cum=     +5.87 v=+26.1904 top5=[a11=0.035, a43=0.034, a1=0.032, a16=0.029, a28=0.029]
  s=   37 a= 22 r= -0.4041 cum=     +5.47 v=+24.3584 top5=[a11=0.034, a39=0.034, a1=0.034, a43=0.032, a28=0.031]
  s=   38 a= 23 r= -0.3956 cum=     +5.07 v=+22.9760 top5=[a11=0.032, a1=0.032, a43=0.032, a28=0.031, a39=0.028]
  s=   39 a=  0 r= -2.6828 cum=     +2.39 v=+21.7978 top5=[a43=0.032, a11=0.032, a1=0.031, a28=0.030, a3=0.027]
  s=   40 a= 15 r= -0.4007 cum=     +1.99 v=+20.9505 top5=[a43=0.032, a11=0.031, a1=0.031, a28=0.029, a18=0.027]
