======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=    0 a= 25(BUILD:SuperHouse) r= -0.8485 cum=     -0.85 v= +6.8103 top5=[a43=0.030, a30=0.029, a15=0.028, a24=0.027, a36=0.026]
    state: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=1 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=    1 a=  0(DAY) r= +0.5695 cum=     -0.28 v= +7.6018 top5=[a43=0.030, a15=0.029, a30=0.029, a8=0.027, a39=0.027]
  s=    2 a=  9(BUILD:Ironmine) r= -0.8433 cum=     -1.12 v= +6.2215 top5=[a43=0.029, a15=0.028, a30=0.027, a8=0.026, a39=0.026]
  s=    3 a= 41(MANAGER:7) r= -2.2611 cum=     -3.38 v= +5.4462 top5=[a43=0.028, a15=0.027, a30=0.026, a8=0.026, a39=0.025]
  s=    4 a= 28(BUILD:BigRefinary) r= -0.6020 cum=     -3.99 v= +6.3204 top5=[a43=0.029, a15=0.028, a8=0.027, a30=0.027, a39=0.025]
  s=    5 a= 27(BUILD:WaterMill) r= -0.6502 cum=     -4.64 v= +5.5032 top5=[a43=0.028, a15=0.027, a8=0.026, a30=0.026, a39=0.025]
  s=    6 a= 31(BUILD:AirStation) r=+10.0000 cum=     +5.36 v= +5.0770 top5=[a43=0.028, a15=0.027, a8=0.026, a30=0.026, a39=0.025]
  s=    7 a= 11(BUILD:Goldmine) r= -0.1753 cum=     +5.19 v= +6.5293 top5=[a43=0.030, a15=0.027, a39=0.027, a8=0.027, a30=0.027]
  s=    8 a=  3(BUILD:Farm) r= +3.0716 cum=     +8.26 v= +5.6782 top5=[a43=0.028, a15=0.027, a39=0.026, a8=0.026, a30=0.026]
  s=    9 a=  2(BUILD:WaterChannel) r= +3.1351 cum=    +11.40 v= +6.2624 top5=[a43=0.030, a8=0.027, a39=0.027, a15=0.027, a30=0.026]
  s=   10 a= 14(BUILD:Road) r= +3.2008 cum=    +14.60 v= +6.1119 top5=[a43=0.030, a15=0.027, a39=0.027, a8=0.026, a30=0.026]
  s=   11 a= 31(BUILD:AirStation) r= +1.1747 cum=    +15.77 v= +6.0439 top5=[a43=0.029, a15=0.027, a39=0.027, a8=0.026, a30=0.026]
  s=   12 a= 29(BUILD:Puerperal) r= -0.2034 cum=    +15.57 v= +6.7397 top5=[a43=0.030, a15=0.027, a39=0.027, a30=0.027, a8=0.026]
  s=   13 a= 17(BUILD:HuntingLand) r= -0.2091 cum=    +15.36 v= +6.5560 top5=[a43=0.030, a15=0.027, a39=0.027, a8=0.026, a30=0.026]
  s=   14 a=  0(DAY) r= +0.1432 cum=    +15.50 v= +6.3913 top5=[a43=0.029, a15=0.027, a39=0.026, a8=0.026, a30=0.026]
  s=   15 a= 14(BUILD:Road) r= -0.2208 cum=    +15.28 v= +6.2491 top5=[a43=0.029, a15=0.027, a8=0.026, a39=0.026, a30=0.026]
  s=   16 a= 18(BUILD:CowFarm) r= -0.2261 cum=    +15.06 v= +6.1263 top5=[a43=0.029, a15=0.027, a8=0.026, a39=0.026, a30=0.026]
  s=   17 a= 15(BUILD:Fish) r= -0.2313 cum=    +14.82 v= +6.0206 top5=[a43=0.029, a15=0.027, a8=0.026, a39=0.026, a30=0.026]
  s=   18 a= 15(BUILD:Fish) r= +3.9399 cum=    +18.76 v= +6.0744 top5=[a43=0.029, a15=0.027, a8=0.026, a39=0.026, a30=0.025]
  s=   19 a= 30(BUILD:BigIronmine) r= -0.2486 cum=    +18.52 v= +5.8834 top5=[a43=0.029, a15=0.027, a8=0.027, a39=0.026, a30=0.025]
  s=   20 a=  1(WEEK) r= -1.9753 cum=    +16.54 v= +5.8102 top5=[a43=0.029, a15=0.027, a8=0.027, a39=0.026, a30=0.025]
  s=   21 a= 16(BUILD:CoalCut) r= -0.2615 cum=    +16.28 v= +6.6252 top5=[a43=0.030, a8=0.028, a15=0.027, a39=0.026, a14=0.026]
  s=   22 a= 29(BUILD:Puerperal) r= -0.2735 cum=    +16.00 v= +6.6342 top5=[a43=0.030, a8=0.028, a15=0.027, a39=0.026, a14=0.026]
