======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=    0 a= 28(BUILD:BigRefinary) r= -0.8485 cum=     -0.85 v=-49.0308 top5=[a36=0.102, a39=0.084, a32=0.070, a44=0.058, a43=0.051]
    state: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=1 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=    1 a= 29(BUILD:Puerperal) r= +8.8122 cum=     +7.96 v= +2.1408 top5=[a12=0.029, a36=0.029, a39=0.029, a44=0.029, a0=0.029]
  s=    2 a=  4(BUILD:Garden) r= -0.1506 cum=     +7.81 v=+15.8059 top5=[a1=0.031, a0=0.031, a4=0.029, a15=0.029, a12=0.029]
  s=    3 a= 36(MANAGER:2) r= -0.1637 cum=     +7.65 v=+12.0035 top5=[a0=0.030, a1=0.029, a15=0.028, a12=0.028, a4=0.028]
  s=    4 a= 31(BUILD:AirStation) r= +2.9346 cum=    +10.58 v=+11.2290 top5=[a0=0.029, a1=0.028, a12=0.028, a15=0.027, a4=0.027]
  s=    5 a=  4(BUILD:Garden) r= -0.1870 cum=    +10.40 v=+17.2361 top5=[a0=0.029, a4=0.029, a15=0.029, a29=0.029, a1=0.029]
  s=    6 a= 33(BUILD:AtomStation) r= -0.1965 cum=    +10.20 v=+15.4975 top5=[a0=0.029, a15=0.029, a4=0.028, a29=0.028, a1=0.028]
  s=    7 a=  9(BUILD:Ironmine) r= -0.2057 cum=     +9.99 v=+15.0671 top5=[a0=0.029, a15=0.028, a4=0.028, a29=0.028, a1=0.028]
  s=    8 a= 38(MANAGER:4) r= +1.2161 cum=    +11.21 v=+14.6575 top5=[a0=0.029, a15=0.028, a29=0.028, a4=0.028, a1=0.027]
  s=    9 a= 34(MANAGER:0) r= -0.2250 cum=    +10.99 v=+14.9326 top5=[a0=0.029, a29=0.028, a15=0.028, a4=0.028, a1=0.027]
  s=   10 a= 35(MANAGER:1) r= -0.2329 cum=    +10.75 v=+14.8223 top5=[a0=0.029, a29=0.028, a15=0.028, a4=0.027, a44=0.027]
  s=   11 a= 20(BUILD:BigHouse) r= -0.2406 cum=    +10.51 v=+14.8092 top5=[a0=0.029, a29=0.029, a15=0.028, a4=0.027, a44=0.027]
  s=   12 a= 40(MANAGER:6) r= -0.2481 cum=    +10.26 v=+14.8525 top5=[a0=0.030, a29=0.029, a15=0.028, a4=0.028, a44=0.027]
  s=   13 a= 43(MANAGER:9) r= -2.3831 cum=     +7.88 v=+14.9258 top5=[a0=0.030, a29=0.029, a15=0.028, a4=0.028, a44=0.027]
  s=   14 a= 40(MANAGER:6) r= -0.2507 cum=     +7.63 v=+15.0364 top5=[a0=0.030, a29=0.029, a15=0.028, a4=0.028, a44=0.027]
  s=   15 a= 43(MANAGER:9) r= -0.2577 cum=     +7.37 v=+15.1585 top5=[a0=0.030, a29=0.029, a15=0.028, a44=0.028, a4=0.028]
  s=   16 a= 20(BUILD:BigHouse) r= -0.2825 cum=     +7.09 v=+14.5350 top5=[a0=0.031, a29=0.030, a15=0.028, a12=0.028, a38=0.028]
  s=   17 a= 22(BUILD:Apiary) r= +4.5176 cum=    +11.61 v=+13.4920 top5=[a0=0.031, a15=0.029, a12=0.029, a29=0.029, a38=0.028]
  s=   18 a= 18(BUILD:CowFarm) r= -0.2740 cum=    +11.33 v=+17.4947 top5=[a0=0.030, a15=0.030, a29=0.029, a1=0.028, a4=0.028]
  s=   19 a= 13(BUILD:HydroStation) r= -0.2739 cum=    +11.06 v=+17.4115 top5=[a0=0.030, a15=0.030, a29=0.029, a1=0.028, a4=0.028]
  s=   20 a= 38(MANAGER:4) r= +1.5033 cum=    +12.56 v=+17.3004 top5=[a0=0.030, a29=0.030, a15=0.030, a1=0.028, a4=0.028]
  s=   21 a= 40(MANAGER:6) r= -0.2846 cum=    +12.28 v=+17.4181 top5=[a0=0.031, a29=0.030, a15=0.030, a12=0.028, a38=0.028]
  s=   22 a= 21(BUILD:BigFarm) r= -0.2899 cum=    +11.99 v=+17.3292 top5=[a0=0.031, a29=0.030, a15=0.030, a12=0.029, a38=0.028]
  s=   23 a= 39(MANAGER:5) r= +1.5866 cum=    +13.58 v=+17.2515 top5=[a0=0.031, a29=0.030, a15=0.030, a12=0.029, a38=0.028]
  s=   24 a= 38(MANAGER:4) r= +1.6031 cum=    +15.18 v=+16.9039 top5=[a29=0.030, a0=0.030, a15=0.030, a12=0.029, a4=0.028]
