======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=    0 a= 33(BUILD:AtomStation) r= -0.8485 cum=     -0.85 v= +6.8103 top5=[a43=0.030, a30=0.029, a15=0.028, a24=0.027, a36=0.026]
    state: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=1 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=    1 a= 18(BUILD:CowFarm) r=+10.0000 cum=     +9.15 v= +7.6018 top5=[a43=0.030, a15=0.029, a30=0.029, a8=0.027, a39=0.027]
  s=    2 a= 19(BUILD:Mushroom) r= -0.1335 cum=     +9.02 v= +6.7593 top5=[a43=0.030, a15=0.028, a30=0.028, a39=0.027, a8=0.027]
  s=    3 a= 36(MANAGER:2) r= -2.4186 cum=     +6.60 v= +5.8620 top5=[a43=0.029, a15=0.027, a30=0.027, a39=0.026, a8=0.026]
  s=    4 a= 26(BUILD:BigSawmill) r= -0.1467 cum=     +6.45 v= +5.3155 top5=[a43=0.028, a15=0.027, a30=0.026, a8=0.026, a39=0.026]
  s=    5 a= 26(BUILD:BigSawmill) r= -0.1574 cum=     +6.30 v= +4.9473 top5=[a43=0.028, a15=0.027, a30=0.026, a8=0.025, a39=0.025]
  s=    6 a= 43(MANAGER:9) r= -2.7913 cum=     +3.50 v= +4.6866 top5=[a43=0.028, a15=0.026, a30=0.026, a8=0.025, a39=0.025]
  s=    7 a= 30(BUILD:BigIronmine) r= -0.1685 cum=     +3.34 v= +4.4930 top5=[a43=0.027, a15=0.026, a30=0.025, a8=0.025, a39=0.025]
  s=    8 a= 14(BUILD:Road) r= +2.7533 cum=     +6.09 v= +4.3463 top5=[a43=0.027, a15=0.026, a30=0.025, a8=0.025, a39=0.025]
  s=    9 a= 29(BUILD:Puerperal) r= +1.8766 cum=     +7.97 v= +4.4022 top5=[a43=0.028, a15=0.026, a8=0.025, a39=0.025, a30=0.025]
  s=   10 a= 41(MANAGER:7) r= -0.5033 cum=     +7.46 v= +5.5477 top5=[a43=0.029, a15=0.027, a8=0.026, a39=0.026, a30=0.026]
  s=   11 a= 24(BUILD:Hothouse) r= -3.2573 cum=     +4.20 v= +7.5025 top5=[a43=0.030, a8=0.029, a15=0.027, a30=0.027, a39=0.027]
  s=   12 a= 23(BUILD:Torchlight) r= -0.1924 cum=     +4.01 v= +6.6550 top5=[a43=0.029, a8=0.027, a15=0.027, a30=0.026, a39=0.026]
  s=   13 a= 14(BUILD:Road) r= +1.4294 cum=     +5.44 v= +6.2594 top5=[a43=0.029, a15=0.027, a8=0.027, a30=0.026, a39=0.026]
  s=   14 a= 35(MANAGER:1) r= -0.2046 cum=     +5.24 v= +6.2447 top5=[a43=0.029, a8=0.027, a15=0.027, a30=0.026, a39=0.026]
  s=   15 a= 18(BUILD:CowFarm) r= -3.5107 cum=     +1.73 v= +6.0679 top5=[a43=0.029, a15=0.027, a8=0.027, a30=0.026, a39=0.026]
  s=   16 a=  8(BUILD:Coalmine) r= +3.4446 cum=     +5.17 v= +6.0839 top5=[a43=0.029, a15=0.027, a8=0.027, a39=0.026, a30=0.026]
  s=   17 a= 42(MANAGER:8) r= -0.1225 cum=     +5.05 v= +5.8528 top5=[a43=0.029, a8=0.027, a15=0.026, a39=0.026, a30=0.025]
  s=   18 a= 16(BUILD:CoalCut) r= -3.5085 cum=     +1.54 v= +6.4330 top5=[a43=0.031, a15=0.027, a8=0.027, a39=0.026, a30=0.026]
  s=   19 a=  0(DAY) r= -0.1241 cum=     +1.42 v= +6.2864 top5=[a43=0.030, a15=0.027, a8=0.027, a39=0.026, a30=0.026]
  s=   20 a= 32(BUILD:SmallAtomStation) r= -0.4807 cum=     +0.94 v= +6.1628 top5=[a43=0.030, a15=0.027, a8=0.027, a39=0.026, a30=0.026]
  s=   21 a= 31(BUILD:AirStation) r= +3.6123 cum=     +4.55 v= +6.1428 top5=[a43=0.030, a8=0.027, a15=0.027, a39=0.026, a30=0.026]
  s=   22 a= 34(MANAGER:0) r= -0.4914 cum=     +4.06 v= +7.1660 top5=[a43=0.031, a8=0.028, a15=0.028, a39=0.027, a14=0.026]
  s=   23 a= 43(MANAGER:9) r= -3.6376 cum=     +0.42 v= +7.0527 top5=[a43=0.031, a8=0.028, a15=0.028, a39=0.027, a14=0.026]
  s=   24 a= 41(MANAGER:7) r= -0.4907 cum=     -0.07 v= +6.9452 top5=[a43=0.031, a8=0.028, a15=0.027, a39=0.027, a14=0.026]
  s=   25 a= 13(BUILD:HydroStation) r= +2.8142 cum=     +2.74 v= +6.8475 top5=[a43=0.031, a8=0.028, a15=0.027, a39=0.027, a14=0.026]
  s=   26 a=  0(DAY) r= -0.1368 cum=     +2.61 v= +7.3388 top5=[a43=0.032, a8=0.028, a39=0.028, a15=0.027, a30=0.026]
  s=   27 a=  8(BUILD:Coalmine) r= -3.7093 cum=     -1.10 v= +7.2525 top5=[a43=0.032, a8=0.028, a39=0.027, a15=0.027, a30=0.026]
  s=   28 a= 33(BUILD:AtomStation) r= -0.5047 cum=     -1.61 v= +7.1819 top5=[a43=0.032, a8=0.028, a15=0.027, a39=0.027, a30=0.026]
  s=   29 a= 19(BUILD:Mushroom) r= -0.5144 cum=     -2.12 v= +7.1112 top5=[a43=0.031, a8=0.027, a15=0.027, a39=0.027, a30=0.026]
  s=   30 a= 13(BUILD:HydroStation) r= -3.7701 cum=     -5.89 v= +7.0433 top5=[a43=0.031, a8=0.027, a15=0.027, a39=0.027, a30=0.026]
  s=   31 a=  0(DAY) r= -0.1424 cum=     -6.04 v= +4.9211 top5=[a43=0.028, a15=0.026, a8=0.025, a39=0.025, a30=0.025]
