======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=    0 a= 22(BUILD:Apiary) r=+10.0000 cum=    +10.00 v= +6.8103 top5=[a43=0.030, a30=0.029, a15=0.028, a24=0.027, a36=0.026] [BUILD: Apiary]
    state: year=0 month=3 season=0 money=72615 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5526 main_tax_amount=0 days_alive=1 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 Apiary=1 | nw=1532000.0000
  s=    1 a= 43(MANAGER:9) r= -0.1263 cum=     +9.87 v= +7.8588 top5=[a43=0.031, a15=0.030, a30=0.029, a39=0.028, a8=0.027]
  s=    2 a=  6(BUILD:SmallHouse) r= -2.2845 cum=     +7.59 v= +6.3593 top5=[a43=0.029, a15=0.028, a30=0.027, a8=0.026, a39=0.026] [BUILD FAILED: SmallHouse]
  s=    3 a= 37(MANAGER:3) r= -0.1379 cum=     +7.45 v= +5.5540 top5=[a43=0.029, a15=0.027, a30=0.027, a8=0.026, a39=0.026]
  s=    4 a= 15(BUILD:Fish) r= -0.1492 cum=     +7.30 v= +5.0346 top5=[a43=0.028, a15=0.027, a30=0.026, a8=0.025, a39=0.025] [BUILD: Fish]
  s=    5 a= 21(BUILD:BigFarm) r= -2.6442 cum=     +4.66 v= +4.6792 top5=[a43=0.028, a15=0.026, a30=0.026, a8=0.025, a39=0.025] [BUILD FAILED: BigFarm]
  s=    6 a= 27(BUILD:WaterMill) r= -0.1614 cum=     +4.50 v= +4.4334 top5=[a43=0.027, a15=0.026, a30=0.025, a8=0.025, a39=0.025] [BUILD: WaterMill]
  s=    7 a= 23(BUILD:Torchlight) r= -0.1708 cum=     +4.33 v= +4.2588 top5=[a43=0.027, a15=0.026, a30=0.025, a8=0.025, a39=0.025] [BUILD: Torchlight]
  s=    8 a= 32(BUILD:SmallAtomStation) r= -2.9954 cum=     +1.33 v= +4.1281 top5=[a43=0.027, a15=0.026, a30=0.025, a8=0.025, a39=0.025] [BUILD FAILED: SmallAtomStation]
  s=    9 a= 20(BUILD:BigHouse) r= +0.9783 cum=     +2.31 v= +4.0286 top5=[a43=0.027, a15=0.026, a30=0.025, a8=0.025, a39=0.024] [BUILD: BigHouse]
  s=   10 a= 17(BUILD:HuntingLand) r= -0.1876 cum=     +2.12 v= +8.0643 top5=[a43=0.032, a8=0.030, a39=0.029, a18=0.028, a15=0.028] [BUILD: HuntingLand]
  s=   11 a= 29(BUILD:Puerperal) r= -3.2518 cum=     -1.13 v= +5.5925 top5=[a43=0.029, a15=0.027, a8=0.026, a39=0.026, a30=0.025] [BUILD FAILED: Puerperal]
  s=   12 a= 17(BUILD:HuntingLand) r= -0.1941 cum=     -1.32 v= +5.3405 top5=[a43=0.028, a15=0.026, a8=0.026, a39=0.025, a30=0.025] [BUILD: HuntingLand]
  s=   13 a=  2(BUILD:WaterChannel) r= -0.0788 cum=     -1.40 v= +5.2166 top5=[a43=0.028, a15=0.026, a8=0.025, a30=0.025, a39=0.025] [BUILD: WaterChannel]
  s=   14 a= 26(BUILD:BigSawmill) r= -3.4583 cum=     -4.86 v= +5.1245 top5=[a43=0.028, a15=0.026, a8=0.025, a30=0.025, a39=0.025] [BUILD FAILED: BigSawmill]
  s=   15 a= 10(BUILD:Refinery) r= -0.2058 cum=     -5.07 v= +5.0507 top5=[a43=0.028, a15=0.026, a8=0.025, a30=0.025, a39=0.025] [BUILD: Refinery]
  s=   16 a= 36(MANAGER:2) r= -0.2118 cum=     -5.28 v= +4.9906 top5=[a43=0.028, a15=0.026, a8=0.025, a30=0.025, a39=0.025]
  s=   17 a= 30(BUILD:BigIronmine) r= -3.6263 cum=     -8.91 v= +4.9404 top5=[a43=0.028, a15=0.026, a8=0.025, a30=0.025, a39=0.025] [BUILD FAILED: BigIronmine]
  s=   18 a=  4(BUILD:Garden) r= -0.2154 cum=     -9.12 v= +4.8984 top5=[a43=0.028, a15=0.026, a8=0.025, a39=0.025, a30=0.025] [BUILD: Garden]
  s=   19 a= 20(BUILD:BigHouse) r= -0.2207 cum=     -9.34 v= +4.8615 top5=[a43=0.028, a15=0.026, a8=0.025, a39=0.025, a30=0.025] [BUILD: BigHouse]
  s=   20 a= 21(BUILD:BigFarm) r= -3.7372 cum=    -13.08 v= +4.8286 top5=[a43=0.028, a15=0.026, a8=0.025, a39=0.025, a30=0.025] [BUILD FAILED: BigFarm]
  s=   21 a= 23(BUILD:Torchlight) r= -0.2235 cum=    -13.30 v= +4.7987 top5=[a43=0.028, a15=0.026, a8=0.025, a39=0.025, a30=0.025] [BUILD: Torchlight]
  s=   22 a= 41(MANAGER:7) r= -0.6087 cum=    -13.91 v= +4.7713 top5=[a43=0.028, a15=0.026, a8=0.025, a39=0.025, a30=0.025]
