======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=    0 a= 13(BUILD:HydroStation) r=+10.0000 cum=    +10.00 v= +6.8103 top5=[a43=0.030, a30=0.029, a15=0.028, a24=0.027, a36=0.026] [BUILD: HydroStation]
    state: year=0 month=3 season=0 money=67962 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5526 main_tax_amount=0 days_alive=1 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 House=1 | nw=1532000.0000
  s=    1 a= 23(BUILD:Torchlight) r= -0.1263 cum=     +9.87 v= +8.1846 top5=[a43=0.032, a15=0.030, a30=0.029, a39=0.029, a8=0.028] [BUILD: Torchlight]
  s=    2 a= 24(BUILD:Hothouse) r= +2.2845 cum=    +12.16 v= +6.3743 top5=[a43=0.029, a15=0.028, a30=0.027, a39=0.026, a8=0.026] [BUILD: Hothouse]
  s=    3 a=  4(BUILD:Garden) r= -0.0601 cum=    +12.10 v= +5.8468 top5=[a43=0.029, a15=0.027, a30=0.027, a39=0.026, a8=0.026] [BUILD: Garden]
  s=    4 a= 40(MANAGER:6) r= -2.7076 cum=     +9.39 v= +5.3155 top5=[a43=0.028, a15=0.027, a30=0.026, a8=0.026, a39=0.026]
  s=    5 a= 41(MANAGER:7) r= -0.4213 cum=     +8.97 v= +4.9365 top5=[a43=0.028, a15=0.027, a30=0.026, a8=0.025, a39=0.025]
  s=    6 a= 38(MANAGER:4) r= +0.9444 cum=     +9.91 v= +6.3555 top5=[a43=0.029, a15=0.027, a8=0.027, a30=0.027, a39=0.026]
  s=    7 a= 37(MANAGER:3) r= -2.9457 cum=     +6.97 v= +5.6690 top5=[a43=0.028, a15=0.027, a8=0.027, a30=0.026, a39=0.025]
  s=    8 a= 20(BUILD:BigHouse) r= -0.1743 cum=     +6.79 v= +5.2777 top5=[a43=0.028, a15=0.027, a8=0.026, a30=0.026, a39=0.025] [BUILD: BigHouse]
  s=    9 a= 30(BUILD:BigIronmine) r= -0.1823 cum=     +6.61 v= +5.0366 top5=[a43=0.028, a15=0.026, a8=0.026, a30=0.026, a39=0.025] [BUILD: BigIronmine]
  s=   10 a= 11(BUILD:Goldmine) r= -3.1657 cum=     +3.45 v= +4.8649 top5=[a43=0.028, a15=0.026, a8=0.026, a30=0.025, a39=0.025] [BUILD FAILED: Goldmine]
  s=   11 a= 15(BUILD:Fish) r= -0.1879 cum=     +3.26 v= +4.7359 top5=[a43=0.028, a15=0.026, a8=0.026, a30=0.025, a39=0.025] [BUILD: Fish]
  s=   12 a= 14(BUILD:Road) r= +3.0242 cum=     +6.28 v= +4.6357 top5=[a43=0.027, a15=0.026, a8=0.026, a30=0.025, a39=0.025] [BUILD: Road]
  s=   13 a=  3(BUILD:Farm) r= +3.2738 cum=     +9.56 v= +4.7197 top5=[a43=0.028, a15=0.026, a8=0.026, a30=0.025, a39=0.025] [BUILD: Farm]
  s=   14 a=  4(BUILD:Garden) r= -0.0775 cum=     +9.48 v= +4.9689 top5=[a43=0.028, a15=0.026, a8=0.026, a39=0.026, a30=0.025] [BUILD: Garden]
  s=   15 a= 41(MANAGER:7) r= -3.3889 cum=     +6.09 v= +4.9021 top5=[a43=0.028, a15=0.026, a8=0.026, a39=0.026, a30=0.025]
  s=   16 a= 21(BUILD:BigFarm) r= -0.1995 cum=     +5.89 v= +4.8591 top5=[a43=0.028, a15=0.026, a8=0.026, a39=0.025, a30=0.025] [BUILD: BigFarm]
